Tanggal,Kegiatan,Pemateri,Paparan,File
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",Wihana Kirana Jaya,Pembahas - Wihana Kirana Jaya,https://balitbanghub.dephub.go.id/file/616
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",Rudy Sangian,INTEGRASI POLA HUB & SPOKE DALAM PENYELENGGARAAN TOL LAUT 2022 - Rudy Sangian,https://balitbanghub.dephub.go.id/file/614
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",R.O. Saut Gurning,Evaluasi Penerapan Hub and Spoke Dalam Penyelenggaraan Tol Laut-R.O. Saut Gurning,https://balitbanghub.dephub.go.id/file/617
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",PROF. NUR YUWONO,EVALUASI DAN OPTIMASI PENYELENGGARAAN TOL LAUT PADA MASA YANG AKAN DATANG - PROF. NUR YUWONO,https://balitbanghub.dephub.go.id/file/615
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",SUGIYANTO,Urgensi Undang-Undang Sistem Transportasi Nasional,https://balitbanghub.dephub.go.id/file/605
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",Badan Penelitian dan Pengembangan Perhubungan,Undang - Undang Transportasi Dalam Menghadapi Tantangan Saat Ini,https://balitbanghub.dephub.go.id/file/606
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""","Dr. Ir. GUNUNG HUTAPEA, M.M",Undang - Undang 17 Tahun 2008 Tentang Pelayaran Menghadapi Tantangan Saat Ini,https://balitbanghub.dephub.go.id/file/603
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""","Capt. Novyanto Widadi, S.AP., M.M. Kepala Pusat Penelitian dan Pengembangan Transportasi Udara",Regulasi Dalam Sudut Pandang Sektor Transportasi Udara,https://balitbanghub.dephub.go.id/file/607
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",Puslitbang Transportasi Jalan & Perkeretaapian,Meneropong Undang - Undang Transportasi Dalam Menghadapi Tantangan Saat ini,https://balitbanghub.dephub.go.id/file/604
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","Ministry of the Environment, Japan",JCM (Joint Crediting Mechanism) Introduction of Decarbonizing Technologies,https://balitbanghub.dephub.go.id/file/599
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","Policy Bureau, Ministry of Land, Infrastructure, Transport and Tourism",Green Logistics Policies for Sustainable Development in Japan,https://balitbanghub.dephub.go.id/file/600
